t_s,temp_c,detune_c,v0_hz,v1_hz,v2_hz,v3_hz,rms
0.000,25.00,0.000,440.000,0.000,0.000,0.000,0.000000
0.033,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.067,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.100,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.133,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.167,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.200,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.233,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.267,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.300,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.333,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.367,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.400,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.433,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.467,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.500,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.533,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.567,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.600,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.633,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.667,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.700,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.733,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.767,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.800,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.833,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.867,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
0.900,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
0.933,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
0.967,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
1.000,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
1.033,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
1.067,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
1.100,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
1.133,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
1.167,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
1.200,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
1.233,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
1.267,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
1.300,25.00,0.000,440.000,0.000,0.000,0.000,0.112897
1.333,25.00,0.000,440.000,0.000,0.000,0.000,0.112839
1.367,25.00,0.000,440.000,0.000,0.000,0.000,0.113672
